ID,Engineering,Experimental,ShieldStrengthBonus,ExpResBonus,KinResBonus,ThermResBonus
1,Kinetic Resistance,Thermo Block,0.188,-0.05,0.27,-0.029
2,Kinetic Resistance,Force Block,0.188,-0.05,0.2846,-0.05
3,Kinetic Resistance,Super Capaciors,0.26,-0.071,0.2554,-0.071
4,Thermal Resistance,Thermo Block,0.188,-0.05,-0.05,0.2846
5,Thermal Resistance,Force Block,0.188,-0.05,-0.029,0.27
6,Thermal Resistance,Super Capaciors,0.26,-0.071,-0.071,0.2554
7,Heavy  Duty,Thermo Block,0.639,0,0,0.02
8,Heavy  Duty,Force Block,0.639,0,0.02,0
9,Heavy  Duty,Super Capaciors,0.739,-0.02,-0.02,-0.02
10,Resistance Augmented,Thermo Block,0.188,0.17,0.17,0.1866
11,Resistance Augmented,Force Block,0.188,0.17,0.1866,0.17
12,Resistance Augmented,Super Capaciors,0.26,0.1534,0.1534,0.1534
